,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,,-additional
Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB,W,L,SV,ERA,IP,SO,Voting,-9999
2022,AL,Aaron Judge,NYY,10.6,.311,.425,.686,62,131,16,,,,,,,Voting,judgeaa01
2022,NL,Paul Goldschmidt,STL,7.8,.317,.404,.578,35,115,7,,,,,,,Voting,goldspa01
,,,,,,,,,,,,,,,,,,-9999
2021,AL,Shohei Ohtani,LAA,9.0,.257,.372,.592,46,100,26,9,2,0,3.18,130.1,156,Voting,ohtansh01
2021,NL,Bryce Harper,PHI,5.9,.309,.429,.615,35,84,13,,,,,,,Voting,harpebr03
,,,,,,,,,,,,,,,,,,-9999
2020,AL,José Abreu,CHW,3.0,.317,.370,.617,19,60,0,,,,,,,Voting,abreujo02
2020,NL,Freddie Freeman,ATL,3.3,.341,.462,.640,13,53,2,,,,,,,Voting,freemfr01
,,,,,,,,,,,,,,,,,,-9999
2019,AL,Mike Trout,LAA,7.9,.291,.438,.645,45,104,11,,,,,,,Voting,troutmi01
2019,NL,Cody Bellinger,LAD,8.6,.305,.406,.629,47,115,15,,,,,,,Voting,bellico01
,,,,,,,,,,,,,,,,,,-9999
2018,AL,Mookie Betts,BOS,10.7,.346,.438,.640,32,80,30,,,,,,,Voting,bettsmo01
2018,NL,Christian Yelich,MIL,7.3,.326,.402,.598,36,110,22,,,,,,,Voting,yelicch01
,,,,,,,,,,,,,,,,,,-9999
2017,AL,Jose Altuve,HOU,7.7,.346,.410,.547,24,81,32,,,,,,,Voting,altuvjo01
2017,NL,Giancarlo Stanton,MIA,7.9,.281,.376,.631,59,132,2,,,,,,,Voting,stantmi03
,,,,,,,,,,,,,,,,,,-9999
2016,AL,Mike Trout,LAA,10.5,.315,.441,.550,29,100,30,,,,,,,Voting,troutmi01
2016,NL,Kris Bryant,CHC,7.3,.292,.385,.554,39,102,8,,,,,,,Voting,bryankr01
,,,,,,,,,,,,,,,,,,-9999
2015,AL,Josh Donaldson,TOR,7.1,.297,.371,.568,41,123,6,,,,,,,Voting,donaljo02
2015,NL,Bryce Harper,WSN,9.7,.330,.460,.649,42,99,6,,,,,,,Voting,harpebr03
,,,,,,,,,,,,,,,,,,-9999
2014,AL,Mike Trout,LAA,7.7,.287,.377,.561,36,111,16,,,,,,,Voting,troutmi01
2014,NL,Clayton Kershaw,LAD,8.2,.175,.235,.206,0,3,1,21,3,0,1.77,198.1,239,Voting,kershcl01
,,,,,,,,,,,,,,,,,,-9999
2013,AL,Miguel Cabrera,DET,7.5,.348,.442,.636,44,137,3,,,,,,,Voting,cabremi01
2013,NL,Andrew McCutchen,PIT,7.8,.317,.404,.508,21,84,27,,,,,,,Voting,mccutan01
,,,,,,,,,,,,,,,,,,-9999
2012,AL,Miguel Cabrera,DET,7.1,.330,.393,.606,44,139,4,,,,,,,Voting,cabremi01
2012,NL,Buster Posey,SFG,7.6,.336,.408,.549,24,103,1,,,,,,,Voting,poseybu01
,,,,,,,,,,,,,,,,,,-9999
2011,AL,Justin Verlander,DET,8.6,.000,.000,.000,0,0,0,24,5,0,2.40,251.0,250,Voting,verlaju01
2011,NL,Ryan Braun,MIL,7.7,.332,.397,.597,33,111,33,,,,,,,Voting,braunry02
,,,,,,,,,,,,,,,,,,-9999
2010,AL,Josh Hamilton,TEX,8.7,.359,.411,.633,32,100,8,,,,,,,Voting,hamiljo03
2010,NL,Joey Votto,CIN,7.0,.324,.424,.600,37,113,16,,,,,,,Voting,vottojo01
,,,,,,,,,,,,,,,,,,-9999
2009,AL,Joe Mauer,MIN,7.8,.365,.444,.587,28,96,4,,,,,,,Voting,mauerjo01
2009,NL,Albert Pujols,STL,9.7,.327,.443,.658,47,135,16,,,,,,,Voting,pujolal01
,,,,,,,,,,,,,,,,,,-9999
2008,AL,Dustin Pedroia,BOS,7.0,.326,.376,.493,17,83,20,,,,,,,Voting,pedrodu01
2008,NL,Albert Pujols,STL,9.2,.357,.462,.653,37,116,7,,,,,,,Voting,pujolal01
,,,,,,,,,,,,,,,,,,-9999
2007,AL,Alex Rodriguez,NYY,9.4,.314,.422,.645,54,156,24,,,,,,,Voting,rodrial01
2007,NL,Jimmy Rollins,PHI,6.1,.296,.344,.531,30,94,41,,,,,,,Voting,rolliji01
,,,,,,,,,,,,,,,,,,-9999
2006,AL,Justin Morneau,MIN,4.3,.321,.375,.559,34,130,3,,,,,,,Voting,morneju01
2006,NL,Ryan Howard,PHI,5.2,.313,.425,.659,58,149,0,,,,,,,Voting,howarry01
,,,,,,,,,,,,,,,,,,-9999
2005,AL,Alex Rodriguez,NYY,9.4,.321,.421,.610,48,130,21,,,,,,,Voting,rodrial01
2005,NL,Albert Pujols,STL,8.4,.330,.430,.609,41,117,16,,,,,,,Voting,pujolal01
,,,,,,,,,,,,,,,,,,-9999
2004,AL,Vladimir Guerrero,ANA,5.6,.337,.391,.598,39,126,15,,,,,,,Voting,guerrvl01
2004,NL,Barry Bonds,SFG,10.6,.362,.609,.812,45,101,6,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
2003,AL,Alex Rodriguez,TEX,8.4,.298,.396,.600,47,118,17,,,,,,,Voting,rodrial01
2003,NL,Barry Bonds,SFG,9.2,.341,.529,.749,45,90,7,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
2002,AL,Miguel Tejada,OAK,5.7,.308,.354,.508,34,131,7,,,,,,,Voting,tejadmi01
2002,NL,Barry Bonds,SFG,11.8,.370,.582,.799,46,110,9,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
2001,AL,Ichiro Suzuki,SEA,7.7,.350,.381,.457,8,69,56,,,,,,,Voting,suzukic01
2001,NL,Barry Bonds,SFG,11.9,.328,.515,.863,73,137,13,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
2000,AL,Jason Giambi,OAK,7.8,.333,.476,.647,43,137,2,,,,,,,Voting,giambja01
2000,NL,Jeff Kent,SFG,7.2,.334,.424,.596,33,125,12,,,,,,,Voting,kentje01
,,,,,,,,,,,,,,,,,,-9999
1999,AL,Ivan Rodriguez,TEX,6.4,.332,.356,.558,35,113,25,,,,,,,Voting,rodriiv01
1999,NL,Chipper Jones,ATL,6.9,.319,.441,.633,45,110,25,,,,,,,Voting,jonesch06
,,,,,,,,,,,,,,,,,,-9999
1998,AL,Juan Gonzalez,TEX,4.9,.318,.366,.630,45,157,2,,,,,,,Voting,gonzaju03
1998,NL,Sammy Sosa,CHC,6.5,.308,.377,.647,66,158,18,,,,,,,Voting,sosasa01
,,,,,,,,,,,,,,,,,,-9999
1997,AL,Ken Griffey Jr.,SEA,9.1,.304,.382,.646,56,147,15,,,,,,,Voting,griffke02
1997,NL,Larry Walker,COL,9.8,.366,.452,.720,49,130,33,,,,,,,Voting,walkela01
,,,,,,,,,,,,,,,,,,-9999
1996,AL,Juan Gonzalez,TEX,3.8,.314,.368,.643,47,144,2,,,,,,,Voting,gonzaju03
1996,NL,Ken Caminiti,SDP,7.6,.326,.408,.621,40,130,11,,,,,,,Voting,caminke01
,,,,,,,,,,,,,,,,,,-9999
1995,AL,Mo Vaughn,BOS,4.3,.300,.388,.575,39,126,11,,,,,,,Voting,vaughmo01
1995,NL,Barry Larkin,CIN,5.9,.319,.394,.492,15,66,51,,,,,,,Voting,larkiba01
,,,,,,,,,,,,,,,,,,-9999
1994,AL,Frank Thomas,CHW,6.4,.353,.487,.729,38,101,2,,,,,,,Voting,thomafr04
1994,NL,Jeff Bagwell,HOU,8.2,.368,.451,.750,39,116,15,,,,,,,Voting,bagweje01
,,,,,,,,,,,,,,,,,,-9999
1993,AL,Frank Thomas,CHW,6.2,.317,.426,.607,41,128,4,,,,,,,Voting,thomafr04
1993,NL,Barry Bonds,SFG,9.9,.336,.458,.677,46,123,29,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
1992,AL,Dennis Eckersley,OAK,2.9,,,,,,,7,1,51,1.91,80.0,93,Voting,eckerde01
1992,NL,Barry Bonds,PIT,9.0,.311,.456,.624,34,103,39,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
1991,AL,Cal Ripken Jr.,BAL,11.5,.323,.374,.566,34,114,6,,,,,,,Voting,ripkeca01
1991,NL,Terry Pendleton,ATL,6.1,.319,.363,.517,22,86,10,,,,,,,Voting,pendlte01
,,,,,,,,,,,,,,,,,,-9999
1990,AL,Rickey Henderson,OAK,9.9,.325,.439,.577,28,61,65,,,,,,,Voting,henderi01
1990,NL,Barry Bonds,PIT,9.7,.301,.406,.565,33,114,52,,,,,,,Voting,bondsba01
,,,,,,,,,,,,,,,,,,-9999
1989,AL,Robin Yount,MIL,5.8,.318,.384,.511,21,103,19,,,,,,,Voting,yountro01
1989,NL,Kevin Mitchell,SFG,6.9,.291,.388,.635,47,125,3,,,,,,,Voting,mitchke01
,,,,,,,,,,,,,,,,,,-9999
1988,AL,Jose Canseco,OAK,7.3,.307,.391,.569,42,124,40,,,,,,,Voting,cansejo01
1988,NL,Kirk Gibson,LAD,6.5,.290,.377,.483,25,76,31,,,,,,,Voting,gibsoki01
,,,,,,,,,,,,,,,,,,-9999
1987,AL,George Bell,TOR,5.0,.308,.352,.605,47,134,5,,,,,,,Voting,bellge02
1987,NL,Andre Dawson,CHC,4.0,.287,.328,.568,49,137,11,,,,,,,Voting,dawsoan01
,,,,,,,,,,,,,,,,,,-9999
1986,AL,Roger Clemens,BOS,8.8,,,,,,,24,4,0,2.48,254.0,238,Voting,clemero02
1986,NL,Mike Schmidt,PHI,6.1,.290,.390,.547,37,119,1,,,,,,,Voting,schmimi01
,,,,,,,,,,,,,,,,,,-9999
1985,AL,Don Mattingly,NYY,6.5,.324,.371,.567,35,145,2,,,,,,,Voting,mattido01
1985,NL,Willie McGee,STL,8.2,.353,.384,.503,10,82,56,,,,,,,Voting,mcgeewi01
,,,,,,,,,,,,,,,,,,-9999
1984,AL,Willie Hernandez,DET,4.8,,,,,,,9,3,32,1.92,140.1,112,Voting,hernawi01
1984,NL,Ryne Sandberg,CHC,8.6,.314,.367,.520,19,84,32,,,,,,,Voting,sandbry01
,,,,,,,,,,,,,,,,,,-9999
1983,AL,Cal Ripken Jr.,BAL,8.2,.318,.371,.517,27,102,0,,,,,,,Voting,ripkeca01
1983,NL,Dale Murphy,ATL,7.1,.302,.393,.540,36,121,30,,,,,,,Voting,murphda05
,,,,,,,,,,,,,,,,,,-9999
1982,AL,Robin Yount,MIL,10.6,.331,.379,.578,29,114,14,,,,,,,Voting,yountro01
1982,NL,Dale Murphy,ATL,6.1,.281,.378,.507,36,109,23,,,,,,,Voting,murphda05
,,,,,,,,,,,,,,,,,,-9999
1981,AL,Rollie Fingers,MIL,4.2,,,,,,,6,3,28,1.04,78.0,61,Voting,fingero01
1981,NL,Mike Schmidt,PHI,7.7,.316,.435,.644,31,91,12,,,,,,,Voting,schmimi01
,,,,,,,,,,,,,,,,,,-9999
1980,AL,George Brett,KCR,9.4,.390,.454,.664,24,118,15,,,,,,,Voting,brettge01
1980,NL,Mike Schmidt,PHI,8.9,.286,.380,.624,48,121,12,,,,,,,Voting,schmimi01
,,,,,,,,,,,,,,,,,,-9999
1979,AL,Don Baylor,CAL,3.7,.296,.371,.530,36,139,22,,,,,,,Voting,baylodo01
1979,NL,Keith Hernandez,STL,7.6,.344,.417,.513,11,105,11,,,,,,,Voting,hernake01
1979,NL,Willie Stargell,PIT,2.5,.281,.352,.552,32,82,0,,,,,,,Voting,stargwi01
,,,,,,,,,,,,,,,,,,-9999
1978,AL,Jim Rice,BOS,7.6,.315,.370,.600,46,139,7,,,,,,,Voting,riceji01
1978,NL,Dave Parker,PIT,7.0,.334,.394,.585,30,117,20,,,,,,,Voting,parkeda01
,,,,,,,,,,,,,,,,,,-9999
1977,AL,Rod Carew,MIN,9.7,.388,.449,.570,14,100,23,,,,,,,Voting,carewro01
1977,NL,George Foster,CIN,8.4,.320,.382,.631,52,149,6,,,,,,,Voting,fostege01
,,,,,,,,,,,,,,,,,,-9999
1976,AL,Thurman Munson,NYY,5.3,.302,.337,.432,17,105,14,,,,,,,Voting,munsoth01
